chain,store_code,store_name,search_hint,postal_code,lat,lon,found_address,notes
adonis,101200,Mississauga,Adonis Mississauga ON,L5V1N3,43.579564,-79.6819515,1240 Eglinton Ave W B18 Mississauga ON,
adonis,101201,Scarborough,Adonis Scarborough ON,M1L3K9,43.7291776,-79.2905804,20 Ashtonbee Rd A Scarborough ON,
adonis,101202,Dundas,Adonis Dundas ON,L4Y1S4,43.6028558,-79.5880161,2561 Stanfield Rd Mississauga ON,Store named after Dundas St W — address is in Mississauga not the city of Dundas
adonis,101203,Ottawa,Adonis Ottawa ON,K1K3B1,45.4273832,-75.6373337,1055 St. Laurent Blvd Ottawa ON,
adonis,101204,London,Adonis London ON,N6L0E3,42.9318355,-81.2822714,3245 Wonderland Rd S London ON,
adonis,21937,Sauvé,Adonis Sauvé Montreal QC,H4N3L6,45.5346388,-73.6661575,2001 Rue Sauvé O Montréal QC,
adonis,21938,Laval,Adonis Laval QC,H7T1R3,45.5591886,-73.7675282,2425 Bd Curé-Labelle Laval QC,
adonis,21940,Place-vertu,Adonis Place Vertu Montreal QC,H4R1Y8,45.4994019,-73.7072237,3100 Bd Thimens Saint-Laurent QC,Verify — returned address is near Marché Central not Place Vertu mall
adonis,21941,Brossard,Adonis Brossard QC,J4Y0G4,45.4507009,-73.4408093,8880 Boul. Leduc Brossard QC,
adonis,21942,Centre-Ville,Adonis Centre-Ville Montreal QC,H3H1M9,45.490521,-73.5834647,2173 Rue Sainte-Catherine Ouest Montréal QC,
adonis,21943,Anjou,Adonis Anjou Montreal QC,H1M2T5,45.5994501,-73.5596583,7250 Bd des Roseraies Anjou QC,
adonis,21944,Laval-Est,Adonis Laval-Est QC,H7E0H3,45.6129154,-73.6829395,2655 Av. des Aristocrates Laval QC,
adonis,21945,Griffintown,Adonis Griffintown Montreal QC,H3C0T1,45.4938618,-73.5585294,225 Rue Peel Montréal QC,
adonis,21947,Gatineau,Adonis Gatineau QC,J8T3R6,45.4784030,-75.6882159,920 Bd Maloney O Gatineau QC,
adonis,21948,Ville de Québec,Adonis Québec City QC,G2K1N8,46.8281064,-71.2957279,1700 Rue Bouvier Québec QC,
adonis,21950,DDO,Adonis Dollard-des-Ormeaux QC,H9B1Z6,45.4840166,-73.7903965,3291 Bd des Sources Dollard-des-Ormeaux QC,
food_basics,846,LANSDOWNE 846,Food Basics Lansdowne Toronto ON,M6H4E9,43.6668467,-79.4469260,830 Lansdowne Ave Toronto ON,
metro,32,#702 Etobicoke (Cloverdale),Metro Cloverdale Mall Etobicoke ON,M9B6L3,43.6306025,-79.5552704,250 The East Mall Etobicoke ON,
metro,49,#208 Hamilton (Fennell),Metro Fennell Ave Hamilton ON,L8T2Z7,43.2287037,-79.8374435,967 Fennell Ave E Hamilton ON,
metro,57,#170 Kingston (Gardiners),Metro Gardiners Rd Kingston ON,K7M7W9,44.2352274,-76.5672247,460 Gardiners Rd Kingston ON,
metro,111,#038 Scarborough (Port Union),Metro Port Union Rd Scarborough ON,M1C4Z7,43.7886569,-79.1394635,261 Port Union Rd Scarborough ON,
metro,496,#253 Gloucester (Ogilvie Square),Metro Ogilvie Square Gloucester Ottawa ON,K1J8P4,45.4454341,-75.5952539,1930 Montréal Rd Ottawa ON,
metro,504,#261 Metro Beechwood,Metro Beechwood Ave Ottawa ON,K1L8B3,45.4394956,-75.6756442,50 Beechwood Ave Ottawa ON,
metro,509,#266 Kingston (Bayridge),Metro Bayridge Kingston ON,K7P2P1,44.2515406,-76.5900354,775 Bayridge Dr Kingston ON,
metro,851,#246 Kanata (Cope Dr.),Metro Cope Dr Kanata ON,K2M0A7,45.2818295,-75.8654468,10 Cope Dr Kanata ON,
metro,913,#145 South Barrie,Metro South Barrie ON,L4N0H5,44.3486193,-79.6299318,640 Mapleview Dr E Barrie ON,
metro_qc,362,Metro Charny Lévis,Metro Charny Lévis QC,G6X1X7,46.7227858,-71.2678557,8032 Av. des Églises Lévis QC,
metro_qc,380,Metro Avenue du Parc Montréal,Metro Ave du Parc Montreal QC,H2X3P9,45.5103472,-73.5750221,3575 Av. du Parc Montréal QC,
metro_qc,381,Metro Plus Wilderton,Metro Plus Wilderton Montreal QC,H3S1P6,45.508551,-73.6257812,2875 Av. Van Horne Montréal QC,
metro_qc,409,Metro Candiac,Metro Candiac QC,J5R3L8,45.3930447,-73.5183439,50 Bd Montcalm N Candiac QC,
metro_qc,413,Metro Plus Terrebonne,Metro Plus Terrebonne QC,J6W3K9,45.7037018,-73.6507364,1300 Boulevard Moody Terrebonne QC,
metro_qc,535,Metro Ste-Anne-de-La Pérade,Metro Ste-Anne-de-la-Pérade QC,G0X2J0,46.5683099,-72.2099898,185 Rue Principale Sainte-Anne-de-la-Pérade QC,
metro_qc,624,Metro Bellemare St-Hubert Longueuil,Metro Bellemare St-Hubert Longueuil QC,J3Y1A3,45.4790392,-73.4487768,5350 Grande Allée Longueuil QC,
metro_qc,641,Metro Emery St-Damien,Metro Emery St-Damien QC,J0K2E0,46.3350144,-73.4836546,7180 Rue Principale Saint-Damien QC,
metro_qc,690,Metro Plus St-Augustin Rte 138,Metro Plus St-Augustin-de-Desmaures QC,G3A2C5,46.7449746,-71.4552336,278 Rte 138 Saint-Augustin-de-Desmaures QC,
metro_qc,691,Metro Plus GP St-Émile Québec,Metro Plus St-Émile Québec City QC,G3E1T2,46.8758438,-71.3274917,1300 Rue de la Faune Québec QC,
metro_qc,703,Metro Trois-Pistoles,Metro Trois-Pistoles QC,G0L4K0,48.1214709,-69.1652438,634 Rue Richard Trois-Pistoles QC,
metro_qc,734,Metro Mont-Tremblant,Metro Mont-Tremblant QC,J8E3J9,46.1181093,-74.5965546,1011 Rue de St Jovite Mont-Tremblant QC,
metro_qc,776,9477-0674 Québec Inc.,Metro (numbered co) Quebec QC,G1K3C9,46.8164585,-71.2178434,860 Boulevard Charest E Québec QC,Best match found: Metro Plus Mail St-Roch — verify this is the correct numbered-company store
