=== Food Basics Flyer Fetch — 2026-07-02 ===
Run started : 2026-07-02 13:50:32 UTC

Loaded 153 stores from data/food_basics/stores.parquet

Stores loaded: 153
Loaded store_flyers.parquet (2142 flyer entries)

Phase 1: fetching flyer listings per store…

  [320] TORONTO 672 → ['83431', '206069']
  [601] WINDSOR 601 → ['83431', '206069']
  [606] SCARBOROUGH 606 → ['83431', '206069']
  [607] HANMER 607 → ['83431', '206069']
  [609] NORTH BAY 609 → ['83431', '206069']
  [610] SUDBURY 610 → ['83431', '206069']
  [611] STRATFORD 611 → ['83431', '206069']
  [612] LONDON 612 → ['83431', '206069']
  [616] GRIMSBY 616 → ['83431', '206069']
  [620] BURLINGTON 620 → ['83431', '206069']
  [621] HAMILTON 621 → ['83431', '206069']
  [623] STRATHROY 623 → ['83431', '206069']
  [627] MISSISSAUGA 627 → ['83431', '206069']
  [628] SCARBOROUGH 628 → ['83431', '206069']
  [629] TORONTO 629 → ['83431', '206069']
  [630] MISSISSAUGA 630 → ['83431', '206069']
  [631] TORONTO 631 → ['83431', '206069']
  [632] GODERICH 632 → ['83431', '206069']
  [633] CAMBRIDGE  633 → ['83431', '206069']
  [634] OTTAWA 634 → ['83431', '206069']
  [635] OAKVILLE 635 → ['83431', '206069']
  [636] OSHAWA 636 → ['83431', '206069']
  [638] SUDBURY 638 → ['83431', '206069']
  [640] KINGSTON 640 → ['83431', '206069']
  [641] ROCKLAND 641 → ['83431', '206069']
  [642] TIMMINS 642 → ['83431', '206069']
  [643] NEW LISKEARD 643 → ['83431', '206069']
  [646] Porcupine (Timmins) 646 → ['83431', '206069']
  [648] TORONTO (Emerald) → ['83431', '206069']
  [650] MIDLAND 650 → ['83431', '206069']
  [651] FONTHILL 651 → ['83431', '206069']
  [652] Port Hope 652 → ['83431', '206069']
  [653] SCARBOROUGH 653 → ['83431', '206069']
  [654] WATERLOO 654 → ['83431', '206069']
  [655] MISSISSAUGA 655 → ['83431', '206069']
  [656] BURLINGTON 656 → ['83431', '206069']
  [657] BURLINGTON 657 → ['83431', '206069']
  [658] WELLAND 658 → ['83431', '206069']
  [659] SAULT STE. MARIE 659 → ['83431', '206069']
  [660] BRAMPTON 660 → ['83431', '206069']
  [661] MARKHAM 661 → ['83431', '206069']
  [662] STITTSVILLE 662 → ['83431', '206069']
  [663] ORLEANS 663 → ['83431', '206069']
  [666] OAKVILLE 666 → ['83431', '206069']
  [668] CORNWALL 668 → ['83431', '206069']
  [669] MISSISSAUGA 669 → ['83431', '206069']
  [670] LONDON 670 → ['83431', '206069']
  [673] THORNHILL 673 → ['83431', '206069']
  [674] NIAGARA FALLS 674 → ['83431', '206069']
  [675] LONDON 675 → ['83431', '206069']
  [676] BRANTFORD 676 → ['83431', '206069']
  [677] WOODSTOCK 677 → ['83431', '206069']
  [678] GUELPH 678 → ['83431', '206069']
  [679] THORNHILL 679 → ['83431', '206069']
  [681] LONDON 681 → ['83431', '206069']
  [682] BRANTFORD 682 → ['83431', '206069']
  [684] PORT PERRY 684 → ['83431', '206069']
  [685] GEORGETOWN 685 → ['83431', '206069']
  [687] HAMILTON 687 → ['83431', '206069']
  [689] ETOBICOKE 689 → ['83431', '206069']
  [690] KITCHENER 690 → ['83431', '206069']
  [691] GUELPH 691 → ['83431', '206069']
  [692] NORTH YORK 692 → ['83431', '206069']
  [693] CHATHAM 693 → ['83431', '206069']
  [694] CAMBRIDGE 694 → ['83431', '206069']
  [695] HAMILTON 695 → ['83431', '206069']
  [696] HANOVER 696 → ['83431', '206069']
  [697] SUDBURY 697 → ['83431', '206069']
  [811] PORT ELGIN 811 → ['83431', '206069']
  [812] KINGSTON 812 → ['83431', '206069']
  [813] London Fanshawe → ['83431', '206069']
  [815] Mississauga Parkside 815 → ['83431', '206069']
  [816] EMBRUN 816 → ['83431', '206069']
  [818] INGERSOLL 818 → ['83431', '206069']
  [819] Nepean 819 → ['83431', '206069']
  [821] LASALLE 821 → ['83431', '206069']
  [823] Brampton 823 → ['83431', '206069']
  [830] KINGSTON 830 → ['83431', '206069']
  [831] WOODBRIDGE 831 → ['83431', '206069']
  [832] WINDSOR 832 → ['83431', '206069']
  [833] BOLTON → ['83431', '206069']
  [834] COURTICE 834 → ['83431', '206069']
  [835] St Thomas 835 → ['83431', '206069']
  [836] HAMILTON 836 → ['83431', '206069']
  [837] BRACEBRIDGE → ['83431', '206069']
  [839] CALEDONIA 839 → ['83431', '206069']
  [840] Chelmsford → ['83431', '206069']
  [841] OAKVILLE 841 → ['83431', '206069']
  [842] NEWMARKET 842 → ['83431', '206069']
  [843] RICHMOND HILL 843 → ['83431', '206069']
  [844] LEAMINGTON 844 → ['83431', '206069']
  [845] HAMILTON 845 → ['83431', '206069']
  [846] LANSDOWNE 846 → ['83431', '206069']
  [847] KITCHENER 847 (New Store) → ['83431', '206069']
  [848] St Clair Beach (Tecumseh) → ['83431', '206069']
  [855] Bradford 855 → ['83431', '206069']
  [856] RICHMOND HILL 856 → ['83431', '206069']
  [857] LONDON 857 → ['83431', '206069']
  [858] NIAGARA FALLS 858 → ['83431', '206069']
  [859] PETAWAWA 859 → ['83431', '206069']
  [860] WINDSOR 860 → ['83431', '206069']
  [861] PORT COLBORNE  861 → ['83431', '206069']
  [862] GUELPH 862 → ['83431', '206069']
  [863] SCARBOROUGH 863 → ['83431', '206069']
  [867] NORTH YORK 867 → ['83431', '206069']
  [868] SARNIA 868 → ['83431', '206069']
  [869] KANATA 869 → ['83431', '206069']
  [870] OTTAWA 870 → ['83431', '206069']
  [871] MISSISSAUGA 871 → ['83431', '206069']
  [872] KESWICK 872 → ['83431', '206069']
  [874] SCARBOROUGH 874 → ['83431', '206069']
  [875] TORONTO 875 → ['83431', '206069']
  [876] THORNHILL 876 → ['83431', '206069']
  [877] KITCHENER 877 → ['83431', '206069']
  [880] TORONTO 880 → ['83431', '206069']
  [882] MILTON 882 → ['83431', '206069']
  [883] LISTOWEL 883 → ['83431', '206069']
  [885] Pickering 885 → ['83431', '206069']
  [886] ORILLIA  886 → ['83431', '206069']
  [887] KEMPTVILLE 887 → ['83431', '206069']
  [888] SIMCOE 888 → ['83431', '206069']
  [890] SMITH FALLS 890 → ['83431', '206069']
  [891] PEMBROKE 891 → ['83431', '206069']
  [892] LINDSAY 892 → ['83431', '206069']
  [893] DUNNVILLE 893 → ['83431', '206069']
  [894] CORNWALL 894 → ['83431', '206069']
  [895] BRAMPTON 895 → ['83431', '206069']
  [896] OTTAWA 896 → ['83431', '206069']
  [897] BARRIE 897 → ['83431', '206069']
  [900] OTTAWA 900 → ['83431', '206069']
  [902] BELLEVILLE 902 → ['83431', '206069']
  [904] BRAMPTON 904 → ['83431', '206069']
  [906] HAMILTON 906 → ['83431', '206069']
  [907] OTTAWA 907 → ['83431', '206069']
  [908] MISSISSAUGA 908 → ['83431', '206069']
  [910] ELMIRA 910 → ['83431', '206069']
  [912] BLENHEIM 912 → ['83431', '206069']
  [917] Ottawa 917 → ['83431', '206069']
  [918] Hawkesbury 918 → ['83431', '206069']
  [921] BROCKVILLE 921 → ['83431', '206069']
  [927] AJAX 927 → ['83431', '206069']
  [928] ETOBICOKE 928 → ['83431', '206069']
  [929] AJAX 929 → ['83431', '206069']
  [930] TORONTO 930 → ['83431', '206069']
  [932] ST. CATHARINES 932 → ['83431', '206069']
  [937] HAMILTON 937 → ['83431', '206069']
  [939] OWEN SOUND 939 → ['83431', '206069']
  [947] SAULT STE. MARIE 947 → ['83431', '206069']
  [949] KINGSTON 949 → ['83431', '206069']
  [959] KITCHENER 959 → ['83431', '206069']
  [960] KITCHENER 960 → ['83431', '206069']
  [976] ANCASTER 976 → ['83431', '206069']
  [989] ST. CATHARINES  989 → ['83431', '206069']

  306 new flyer entries across 153 stores
  2 unique new job(s) to download
  Appended 306 rows to data/food_basics/store_flyers.parquet
New flyer entries added to store_flyers.parquet : 306
Unique new jobs to download                     : 2

Phase 2: fetching products for each new job…

  [83431] store 320  (https://metrodigital-apim.azure-api.net/api/Pages/83431/320/en/search)
    454 products
  [206069] store 320  (https://metrodigital-apim.azure-api.net/api/Pages/206069/320/en/search)
    84 products

── Phase 2 results ──────────────────────────────────────────────────
  Downloaded : 2
  Skipped    : 0  (file already existed)
  Errors     : 0

Run completed: 2026-07-02 13:51:05 UTC
Elapsed      : 0m 33s


Done.  Verbose log → logs/food_basics/2026-07-02_verbose.log
       Summary log → logs/food_basics/2026-07-02_summary.log

