=== IGA Flyer Fetch — 2026-04-23 ===
Run started : 2026-04-23 13:46:09 UTC

Loaded 271 stores from data/iga/stores.json

Stores loaded: 271
Loaded existing store_flyers.json (811 publication entries)

Phase 1: fetching publications per store…

  [288] IGA Alimentation St-Onge inc. → ['7893753', '7887347']
  [409] IGA Stoneham-et-Tewkesbury → ['7893757', '7887347']
  [2422] IGA La Coop de Shediac (Depanneur) → ['7893820', '7887351']
  [2430] IGA La Soc Coop de Lameque (Depanneur) → ['7893820', '7887351']
  [2431] IGA La Coop cons. Dieppe (Depanneur) → ['7893820', '7887351']
  [2524] IGA HENRI LAFLAMME INC. → ['7893753', '7887347']
  [5238] IGA Les Fiduc. SQSP (Coteau-du-Lac) → ['7893753', '7887347']
  [5476] IGA Famille Julien inc. → ['7893753', '7887347']
  [5598] IGA - Quebec inc. → ['7893753', '7887347']
  [5662] IGA Sobeys Capital inc. (EXP/Longueuil) → ['7893753', '7887347']
  [5869] IGA - Quebec Inc. → ['7893753', '7887347']
  [5910] 9378-3702 Quebec inc. → ['7893753', '7887347']
  [5924] IGA Sobeys Capital inc. (Q. spectacles) → ['7893753', '7887347']
  [5925] IGA - Quebec inc. → ['7893753', '7887347']
  [5940] IGA - Quebec Inc. → ['7893753', '7887347']
  [6016] IGA Les Investissements St-David inc. → ['7893753', '7887347']
  [6018] IGA - Quebec inc. → ['7893753', '7887347']
  [6027] IGA express Des Sources → ['7893753', '7887347']
  [6029] IGA express Gagné et fils → ['7893753', '7887347']
  [6032] IGA - Quebec inc → ['7893753', '7887347']
  [6035] IGA Depanneur CDL inc. → ['7893753', '7887347']
  [6042] IGA Express Famille Piché → ['7893753', '7887347']
  [6139] IGA Marche Lambert et Freres inc. → ['7893753', '7887347']
  [6141] IGA Publicite Punch () inc. → ['7893753', '7887347']
  [6484] IGA - Quebec inc. → ['7893753', '7887347']
  [6485] IGA - Quebec inc. → ['7893753', '7887347']
  [6882] IGA - Quebec Inc. → ['7893753', '7887347']
  [6932] IGA des Sources Galeries Charlebourg → ['7893757', '7887347']
  [6945] IGA express Les filles et associés → ['7893753', '7887347']
  [7878] IGA Marché Clément des Forges inc. → ['7893759', '7887347']
  [7906] IGA extra Les Marchés Emily et Philip → ['7893765', '7887347']
  [7920] IGA Ernest Joly & Fils inc. → ['7893753', '7887347']
  [7924] Groupe Epiciers Couture inc. → ['7893761', '7887347']
  [7925] RB Complexe Desjardins → ['7893755', '7887347']
  [8003] IGA Ronald Boucher & Fils inc. → ['7893753', '7887347']
  [8004] IGA Alimentation Jean Martin inc. → ['7893759', '7887347']
  [8007] IGA Marché Demers → ['7893753', '7887347']
  [8008] IGA Marché Aliguy inc. → ['7893753', '7887347']
  [8012] IGA Extra Chaumont et Bilodeau → ['7893759', '7887347']
  [8013] IGA Marché Girard Terrebonne inc. → ['7893757', '7887347']
  [8016] IGA Extra Couture → ['7893759', '7887347']
  [8018] IGA Supermarché Mellon inc. → ['7893753', '7887347']
  [8019] IGA Chibougamau → ['7893753', '7887347']
  [8020] IGA Marche Famille Mondor inc → ['7893765', '7887347']
  [8021] IGA Marché Lambert et frères inc. → ['7893759', '7887347']
  [8022] IGA Ormstown → ['7893753', '7887347']
  [8023] IGA ALIMENTATION CHRISTIAN ET GINETTE S → ['7893759', '7887347']
  [8028] IGA Groupe Epicier Angus → ['7893753', '7887347']
  [8031] IGA Extra Quebec Marche Lambert et freres inc. → ['7893759', '7887347']
  [8032] IGA extra Vallée Candiac → ['7893757', '7887347']
  [8033] IGA Supermarchés Jacques Daigle inc. → ['7893759', '7887347']
  [8034] IGA Alimentation Raymond Rousseau inc. → ['7893757', '7887347']
  [8035] IGA Marché Raynald Giguère inc. → ['7893757', '7887347']
  [8041] IGA Alimentation Frédérik Martin Inc. → ['7893753', '7887347']
  [8042] IGA Marché DesRosiers inc. → ['7893753', '7887347']
  [8043] IGA Extra Lamoureux Saint-Eustache → ['7893759', '7887347']
  [8046] IGA Alimentation Coaticook () inc. → ['7893753', '7887347']
  [8049] IGA Famille Guilbault → ['7893753', '7887347']
  [8050] IGA Supermarché J.C. Bédard Ltée → ['7893757', '7887347']
  [8052] IGA Alimentation Serge Vermette inc. → ['7893757', '7887347']
  [8053] IGA Les Marchés Pepin inc. → ['7893759', '7887347']
  [8054] IGA Roy → ['7893753', '7887347']
  [8056] IGA Supermarché Pierre Patry Extra → ['7893753', '7887347']
  [8057] IGA Beaumont → ['7893759', '7887347']
