=== IGA Flyer Fetch — 2026-05-07 ===
Run started : 2026-05-07 13:50:09 UTC

Loaded 271 stores from data/iga/stores.json

Stores loaded: 271
Loaded existing store_flyers.json (2152 publication entries)

Phase 1: fetching publications per store…

  [288] IGA Alimentation St-Onge inc. → ['7915880', '7915723', '7911191']
  [409] IGA Stoneham-et-Tewkesbury → ['7915884', '7915723', '7911191']
  [2422] IGA La Coop de Shediac (Depanneur) → ['7916153', '7915719', '7911253']
  [2430] IGA La Soc Coop de Lameque (Depanneur) → ['7916153', '7915719', '7911253']
  [2431] IGA La Coop cons. Dieppe (Depanneur) → ['7916153', '7915719', '7911253']
  [2524] IGA HENRI LAFLAMME INC. → ['7915880', '7915723', '7911191']
  [5238] IGA Les Fiduc. SQSP (Coteau-du-Lac) → ['7915880', '7915723', '7911191']
  [5476] IGA Famille Julien inc. → ['7915880', '7915723', '7911191']
  [5598] IGA - Quebec inc. → ['7915880', '7915723', '7911191']
  [5662] IGA Sobeys Capital inc. (EXP/Longueuil) → ['7915880', '7915723', '7911191']
  [5869] IGA - Quebec Inc. → ['7915880', '7915723', '7911191']
  [5910] 9378-3702 Quebec inc. → ['7915880', '7915723', '7911191']
  [5924] IGA Sobeys Capital inc. (Q. spectacles) → ['7915880', '7915723', '7911191']
  [5925] IGA - Quebec inc. → ['7915880', '7915723', '7911191']
  [5940] IGA - Quebec Inc. → ['7915880', '7915723', '7911191']
  [6016] IGA Les Investissements St-David inc. → ['7915880', '7915723', '7911191']
  [6018] IGA - Quebec inc. → ['7915880', '7915723', '7911191']
  [6027] IGA express Des Sources → ['7915880', '7915723', '7911191']
  [6029] IGA express Gagné et fils → ['7915880', '7915723', '7911191']
  [6032] IGA - Quebec inc → ['7915880', '7915723', '7911191']
  [6035] IGA Depanneur CDL inc. → ['7915880', '7915723', '7911191']
  [6042] IGA Express Famille Piché → ['7915880', '7915723', '7911191']
  [6139] IGA Marche Lambert et Freres inc. → ['7915880', '7915723', '7911191']
  [6141] IGA Publicite Punch () inc. → ['7915880', '7915723', '7911191']
  [6484] IGA - Quebec inc. → ['7915880', '7915723', '7911191']
  [6485] IGA - Quebec inc. → ['7915880', '7915723', '7911191']
  [6882] IGA - Quebec Inc. → ['7915880', '7915723', '7911191']
  [6932] IGA des Sources Galeries Charlebourg → ['7915884', '7915723', '7911191']
  [6945] IGA express Les filles et associés → ['7915880', '7915723', '7911191']
  [7878] IGA Marché Clément des Forges inc. → ['7915886', '7915723', '7911191']
  [7906] IGA extra Les Marchés Emily et Philip → ['7915882', '7915723', '7911191']
  [7920] IGA Ernest Joly & Fils inc. → ['7915880', '7915723', '7911191']
  [7924] Groupe Epiciers Couture inc. → ['7915880', '7915723', '7911191']
  [7925] RB Complexe Desjardins → ['7915882', '7915723', '7911191']
  [8003] IGA Ronald Boucher & Fils inc. → ['7915880', '7915723', '7911191']
  [8004] IGA Alimentation Jean Martin inc. → ['7915886', '7915723', '7911191']
  [8007] IGA Marché Demers → ['7915880', '7915723', '7911191']
  [8008] IGA Marché Aliguy inc. → ['7915880', '7915723', '7911191']
  [8012] IGA Extra Chaumont et Bilodeau → ['7915886', '7915723', '7911191']
  [8013] IGA Marché Girard Terrebonne inc. → ['7915884', '7915723', '7911191']
  [8016] IGA Extra Couture → ['7915886', '7915723', '7911191']
  [8018] IGA Supermarché Mellon inc. → ['7915880', '7915723', '7911191']
  [8019] IGA Chibougamau → ['7915880', '7915723', '7911191']
  [8020] IGA Marche Famille Mondor inc → ['7915882', '7915723', '7911191']
  [8021] IGA Marché Lambert et frères inc. → ['7915886', '7915723', '7911191']
  [8022] IGA Ormstown → ['7915880', '7915723', '7911191']
  [8023] IGA ALIMENTATION CHRISTIAN ET GINETTE S → ['7915886', '7915723', '7911191']
  [8028] IGA Groupe Epicier Angus → ['7915880', '7915723', '7911191']
  [8031] IGA Extra Quebec Marche Lambert et freres inc. → ['7915886', '7915723', '7911191']
  [8032] IGA extra Vallée Candiac → ['7915884', '7915723', '7911191']
  [8033] IGA Supermarchés Jacques Daigle inc. → ['7915886', '7915723', '7911191']
  [8034] IGA Alimentation Raymond Rousseau inc. → ['7915884', '7915723', '7911191']
  [8035] IGA Marché Raynald Giguère inc. → ['7915884', '7915723', '7911191']
  [8041] IGA Alimentation Frédérik Martin Inc. → ['7915880', '7915723', '7911191']
  [8042] IGA Marché DesRosiers inc. → ['7915880', '7915723', '7911191']
  [8043] IGA Extra Lamoureux Saint-Eustache → ['7915886', '7915723', '7911191']
  [8046] IGA Alimentation Coaticook () inc. → ['7915880', '7915723', '7911191']
  [8049] IGA Famille Guilbault → ['7915880', '7915723', '7911191']
  [8050] IGA Supermarché J.C. Bédard Ltée → ['7915884', '7915723', '7911191']
  [8052] IGA Alimentation Serge Vermette inc. → ['7915884', '7915723', '7911191']
  [8053] IGA Les Marchés Pepin inc. → ['7915886', '7915723', '7911191']
  [8054] IGA Roy → ['7915880', '7915723', '7911191']
  [8056] IGA Supermarché Pierre Patry Extra → ['7915880', '7915723', '7911191']
  [8057] IGA Beaumont → ['7915886', '7915723', '7911191']
  [8058] IGA Supermarché Crevier Notre-Dame → ['7915886', '7915723', '7911191']
  [8060] IGA Molson → ['7915884', '7915723', '7911191']
  [8064] IGA Famille Charles Cantley → ['7915884', '7915723', '7911191']
  [8065] IGA CookshireGestion Gilles Gene → ['7915880', '7915723', '7911191']
  [8070] IGA Extra marché Lambert → ['7915884', '7915723', '7911191']
  [8071] IGA Épicerie R. Cadieux et Fils inc. → ['7915884', '7915723', '7911191']
  [8073] IGA Marché IGA Lord de Lafontaine → ['7915884', '7915723', '7911191']
  [8077] IGA Marché Clément St-Charles Inc. → ['7915884', '7915723', '7911191']
  [8078] IGA Marché Emily Philip Desmarais inc. → ['7915886', '7915723', '7911191']
  [8081] IGA COOP Consommateurs de Lorette → ['7915884', '7915723', '7911191']
  [8092] IGA L.A. Daigneault et fils ltée → ['7915886', '7915723', '7911191']
  [8093] IGA Sobeys Capital inc. → ['7915884', '7915723', '7911191']
  [8096] IGA Marché Denis → ['7915884', '7915723', '7911191']
  [8111] IGA Alimentation Shnaidman Pagano → ['7915884', '7915723', '7911191']
  [8113] IGA Groupe Pro  Inc. → ['7915884', '7915723', '7911191']
  [8115] IGA Supermarché Clément Nicolet Inc. → ['7915880', '7915723', '7911191']
  [8123] IGA EXTRA Mascouche → ['7915886', '7915723', '7911191']
