=== IGA Flyer Fetch — 2026-05-14 ===
Run started : 2026-05-14 13:46:34 UTC

Loaded 271 stores from data/iga/stores.parquet

Stores loaded: 271
Loaded store_flyers.parquet (2956 publication entries)

Phase 1: fetching publications per store…

  [288] IGA Alimentation St-Onge inc. → ['7926558', '7921346', '7921464', '7911193']
  [409] IGA Stoneham-et-Tewkesbury → ['7926562', '7921346', '7921464', '7911193']
  [2422] IGA La Coop de Shediac (Depanneur) → ['7926627', '7921657', '7927101', '7911255']
  [2430] IGA La Soc Coop de Lameque (Depanneur) → ['7926627', '7921657', '7927101', '7911255']
  [2431] IGA La Coop cons. Dieppe (Depanneur) → ['7926627', '7921657', '7927101', '7911255']
  [2524] IGA HENRI LAFLAMME INC. → ['7926558', '7921346', '7921464', '7911193']
  [5238] IGA Les Fiduc. SQSP (Coteau-du-Lac) → ['7926558', '7921346', '7921464', '7911193']
  [5476] IGA Famille Julien inc. → ['7926558', '7921346', '7921464', '7911193']
  [5598] IGA - Quebec inc. → ['7926558', '7921346', '7921464', '7911193']
  [5662] IGA Sobeys Capital inc. (EXP/Longueuil) → ['7926558', '7921346', '7921464', '7911193']
  [5869] IGA - Quebec Inc. → ['7926558', '7921346', '7921464', '7911193']
  [5910] 9378-3702 Quebec inc. → ['7926558', '7921346', '7921464', '7911193']
  [5924] IGA Sobeys Capital inc. (Q. spectacles) → ['7926558', '7921346', '7921464', '7911193']
  [5925] IGA - Quebec inc. → ['7926558', '7921346', '7921464', '7911193']
  [5940] IGA - Quebec Inc. → ['7926558', '7921346', '7921464', '7911193']
  [6016] IGA Les Investissements St-David inc. → ['7926558', '7921346', '7921464', '7911193']
  [6018] IGA - Quebec inc. → ['7926558', '7921346', '7921464', '7911193']
  [6027] IGA express Des Sources → ['7926558', '7921346', '7921464', '7911193']
  [6029] IGA express Gagné et fils → ['7926558', '7921346', '7921464', '7911193']
  [6032] IGA - Quebec inc → ['7926558', '7921346', '7921464', '7911193']
  [6035] IGA Depanneur CDL inc. → ['7926558', '7921346', '7921464', '7911193']
  [6042] IGA Express Famille Piché → ['7926558', '7921346', '7921464', '7911193']
  [6139] IGA Marche Lambert et Freres inc. → ['7926558', '7921346', '7921464', '7911193']
  [6141] IGA Publicite Punch () inc. → ['7926558', '7921346', '7921464', '7911193']
  [6484] IGA - Quebec inc. → ['7926558', '7921346', '7921464', '7911193']
  [6485] IGA - Quebec inc. → ['7926558', '7921346', '7921464', '7911193']
  [6882] IGA - Quebec Inc. → ['7926558', '7921346', '7921464', '7911193']
  [6932] IGA des Sources Galeries Charlebourg → ['7926562', '7921346', '7921464', '7911193']
  [6945] IGA express Les filles et associés → ['7926558', '7921346', '7921464', '7911193']
  [7878] IGA Marché Clément des Forges inc. → ['7926564', '7921346', '7921464', '7911193']
  [7906] IGA extra Les Marchés Emily et Philip → ['7926560', '7921346', '7921464', '7911193']
  [7920] IGA Ernest Joly & Fils inc. → ['7926558', '7921346', '7921464', '7911193']
  [7924] Groupe Epiciers Couture inc. → ['7926558', '7921346', '7921464', '7911193']
  [7925] RB Complexe Desjardins → ['7926560', '7921346', '7921464', '7911193']
  [8003] IGA Ronald Boucher & Fils inc. → ['7926558', '7921346', '7921464', '7911193']
  [8004] IGA Alimentation Jean Martin inc. → ['7926564', '7921346', '7921464', '7911193']
  [8007] IGA Marché Demers → ['7926558', '7921346', '7921464', '7911193']
  [8008] IGA Marché Aliguy inc. → ['7926558', '7921346', '7921464', '7911193']
  [8012] IGA Extra Chaumont et Bilodeau → ['7926564', '7921346', '7921464', '7911193']
  [8013] IGA Marché Girard Terrebonne inc. → ['7926562', '7921346', '7921464', '7911193']
  [8016] IGA Extra Couture → ['7926564', '7921346', '7921464', '7911193']
  [8018] IGA Supermarché Mellon inc. → ['7926558', '7921346', '7921464', '7911193']
  [8019] IGA Chibougamau → ['7926558', '7921346', '7921464', '7911193']
  [8020] IGA Marche Famille Mondor inc → ['7926560', '7921346', '7921464', '7911193']
  [8021] IGA Marché Lambert et frères inc. → ['7926564', '7921346', '7921464', '7911193']
  [8022] IGA Ormstown → ['7926558', '7921346', '7921464', '7911193']
