=== IGA Flyer Fetch — 2026-05-21 ===
Run started : 2026-05-21 14:18:12 UTC

Loaded 271 stores from data/iga/stores.parquet

Stores loaded: 271
Loaded store_flyers.parquet (4026 publication entries)

Phase 1: fetching publications per store…

  [288] IGA Alimentation St-Onge inc. → ['7936655', '7931805', '7911198']
  [409] IGA Stoneham-et-Tewkesbury → ['7936659', '7931805', '7911198']
  [2422] IGA La Coop de Shediac (Depanneur) → ['7935425', '7931808', '7911257']
  [2430] IGA La Soc Coop de Lameque (Depanneur) → ['7935425', '7931808', '7911257']
  [2431] IGA La Coop cons. Dieppe (Depanneur) → ['7935425', '7931808', '7911257']
  [2524] IGA HENRI LAFLAMME INC. → ['7936655', '7931805', '7911198']
  [5238] IGA Les Fiduc. SQSP (Coteau-du-Lac) → ['7936655', '7931805', '7911198']
  [5476] IGA Famille Julien inc. → ['7936655', '7931805', '7911198']
  [5598] IGA - Quebec inc. → ['7936655', '7931805', '7911198']
  [5662] IGA Sobeys Capital inc. (EXP/Longueuil) → ['7936655', '7931805', '7911198']
  [5869] IGA - Quebec Inc. → ['7936655', '7931805', '7911198']
  [5910] 9378-3702 Quebec inc. → ['7936655', '7931805', '7911198']
  [5924] IGA Sobeys Capital inc. (Q. spectacles) → ['7936655', '7931805', '7911198']
  [5925] IGA - Quebec inc. → ['7936655', '7931805', '7911198']
  [5940] IGA - Quebec Inc. → ['7936655', '7931805', '7911198']
  [6016] IGA Les Investissements St-David inc. → ['7936655', '7931805', '7911198']
  [6018] IGA - Quebec inc. → ['7936655', '7931805', '7911198']
  [6027] IGA express Des Sources → ['7936655', '7931805', '7911198']
  [6029] IGA express Gagné et fils → ['7936655', '7931805', '7911198']
  [6032] IGA - Quebec inc → ['7936655', '7931805', '7911198']
  [6035] IGA Depanneur CDL inc. → ['7936655', '7931805', '7911198']
  [6042] IGA Express Famille Piché → ['7936655', '7931805', '7911198']
  [6139] IGA Marche Lambert et Freres inc. → ['7936655', '7931805', '7911198']
  [6141] IGA Publicite Punch () inc. → ['7936655', '7931805', '7911198']
  [6484] IGA - Quebec inc. → ['7936655', '7931805', '7911198']
  [6485] IGA - Quebec inc. → ['7936655', '7931805', '7911198']
  [6882] IGA - Quebec Inc. → ['7936655', '7931805', '7911198']
  [6932] IGA des Sources Galeries Charlebourg → ['7936659', '7931805', '7911198']
  [6945] IGA express Les filles et associés → ['7936655', '7931805', '7911198']
  [7878] IGA Marché Clément des Forges inc. → ['7936661', '7931805', '7911198']
  [7906] IGA extra Les Marchés Emily et Philip → ['7936657', '7931805', '7911198']
  [7920] IGA Ernest Joly & Fils inc. → ['7936655', '7931805', '7911198']
  [7924] Groupe Epiciers Couture inc. → ['7936655', '7931805', '7911198']
  [7925] RB Complexe Desjardins → ['7936657', '7931805', '7911198']
  [8003] IGA Ronald Boucher & Fils inc. → ['7936655', '7931805', '7911198']
  [8004] IGA Alimentation Jean Martin inc. → ['7936661', '7931805', '7911198']
