=== IGA Flyer Fetch — 2026-06-04 ===
Run started : 2026-06-04 14:15:14 UTC

Loaded 271 stores from data/iga/stores.parquet

Stores loaded: 271
Loaded store_flyers.parquet (5634 publication entries)

Phase 1: fetching publications per store…

  [288] IGA Alimentation St-Onge inc. → ['7964171', '7960254']
  [409] IGA Stoneham-et-Tewkesbury → ['7964175', '7960254']
  [2422] IGA La Coop de Shediac (Depanneur) → ['7968101', '7960248']
  [2430] IGA La Soc Coop de Lameque (Depanneur) → ['7968101', '7960248']
  [2431] IGA La Coop cons. Dieppe (Depanneur) → ['7968101', '7960248']
  [2524] IGA HENRI LAFLAMME INC. → ['7964171', '7960254']
  [5238] IGA Les Fiduc. SQSP (Coteau-du-Lac) → ['7964171', '7960254']
  [5476] IGA Famille Julien inc. → ['7964171', '7960254']
  [5598] IGA - Quebec inc. → ['7964171', '7960254']
  [5662] IGA Sobeys Capital inc. (EXP/Longueuil) → ['7964171', '7960254']
  [5869] IGA - Quebec Inc. → ['7964171', '7960254']
  [5910] 9378-3702 Quebec inc. → ['7964171', '7960254']
  [5924] IGA Sobeys Capital inc. (Q. spectacles) → ['7964171', '7960254']
  [5925] IGA - Quebec inc. → ['7964171', '7960254']
  [5940] IGA - Quebec Inc. → ['7964171', '7960254']
  [6016] IGA Les Investissements St-David inc. → ['7964171', '7960254']
  [6018] IGA - Quebec inc. → ['7964171', '7960254']
  [6027] IGA express Des Sources → ['7964171', '7960254']
  [6029] IGA express Gagné et fils → ['7964171', '7960254']
  [6032] IGA - Quebec inc → ['7964171', '7960254']
  [6035] IGA Depanneur CDL inc. → ['7964171', '7960254']
  [6042] IGA Express Famille Piché → ['7964171', '7960254']
  [6139] IGA Marche Lambert et Freres inc. → ['7964171', '7960254']
  [6141] IGA Publicite Punch () inc. → ['7964171', '7960254']
  [6484] IGA - Quebec inc. → ['7964171', '7960254']
  [6485] IGA - Quebec inc. → ['7964171', '7960254']
  [6882] IGA - Quebec Inc. → ['7964171', '7960254']
  [6932] IGA des Sources Galeries Charlebourg → ['7964179', '7960254']
  [6945] IGA express Les filles et associés → ['7964171', '7960254']
  [7878] IGA Marché Clément des Forges inc. → ['7964177', '7960254']
  [7906] IGA extra Les Marchés Emily et Philip → ['7971780', '7960254']
  [7920] IGA Ernest Joly & Fils inc. → ['7964171', '7960254']
  [7924] Groupe Epiciers Couture inc. → ['7971778', '7960254']
  [7925] RB Complexe Desjardins → ['7964173', '7960254']
  [8003] IGA Ronald Boucher & Fils inc. → ['7964171', '7960254']
  [8004] IGA Alimentation Jean Martin inc. → ['7964181', '7960254']
  [8007] IGA Marché Demers → ['7964171', '7960254']
  [8008] IGA Marché Aliguy inc. → ['7964171', '7960254']
  [8012] IGA Extra Chaumont et Bilodeau → ['7964177', '7960254']
  [8013] IGA Marché Girard Terrebonne inc. → ['7964179', '7960254']
  [8016] IGA Extra Couture → ['7964177', '7960254']
  [8018] IGA Supermarché Mellon inc. → ['7964171', '7960254']
  [8019] IGA Chibougamau → ['7964171', '7960254']
  [8020] IGA Marche Famille Mondor inc → ['7971780', '7960254']
  [8021] IGA Marché Lambert et frères inc. → ['7964177', '7960254']
  [8022] IGA Ormstown → ['7964171', '7960254']
  [8023] IGA ALIMENTATION CHRISTIAN ET GINETTE S → ['7964181', '7960254']
  [8028] IGA Groupe Epicier Angus → ['7964171', '7960254']
  [8031] IGA Extra Quebec Marche Lambert et freres inc. → ['7964177', '7960254']
  [8032] IGA extra Vallée Candiac → ['7964175', '7960254']
  [8033] IGA Supermarchés Jacques Daigle inc. → ['7964177', '7960254']
  [8034] IGA Alimentation Raymond Rousseau inc. → ['7964175', '7960254']
  [8035] IGA Marché Raynald Giguère inc. → ['7964175', '7960254']
  [8041] IGA Alimentation Frédérik Martin Inc. → ['7964171', '7960254']
  [8042] IGA Marché DesRosiers inc. → ['7964171', '7960254']
  [8043] IGA Extra Lamoureux Saint-Eustache → ['7964177', '7960254']
  [8046] IGA Alimentation Coaticook () inc. → ['7971778', '7960254']
  [8049] IGA Famille Guilbault → ['7964171', '7960254']
  [8050] IGA Supermarché J.C. Bédard Ltée → ['7964175', '7960254']
  [8052] IGA Alimentation Serge Vermette inc. → ['7964175', '7960254']
  [8053] IGA Les Marchés Pepin inc. → ['7964181', '7960254']
  [8054] IGA Roy → ['7964171', '7960254']
  [8056] IGA Supermarché Pierre Patry Extra → ['7964171', '7960254']
  [8057] IGA Beaumont → ['7964177', '7960254']
  [8058] IGA Supermarché Crevier Notre-Dame → ['7964181', '7960254']
  [8060] IGA Molson → ['7964175', '7960254']
  [8064] IGA Famille Charles Cantley → ['7964175', '7960254']
  [8065] IGA CookshireGestion Gilles Gene → ['7964171', '7960254']
  [8070] IGA Extra marché Lambert → ['7964175', '7960254']
  [8071] IGA Épicerie R. Cadieux et Fils inc. → ['7964175', '7960254']
  [8073] IGA Marché IGA Lord de Lafontaine → ['7964175', '7960254']
  [8077] IGA Marché Clément St-Charles Inc. → ['7964175', '7960254']
  [8078] IGA Marché Emily Philip Desmarais inc. → ['7964177', '7960254']
  [8081] IGA COOP Consommateurs de Lorette → ['7964175', '7960254']
  [8092] IGA L.A. Daigneault et fils ltée → ['7964177', '7960254']
  [8093] IGA Sobeys Capital inc. → ['7964179', '7960254']
  [8096] IGA Marché Denis → ['7964175', '7960254']
  [8111] IGA Alimentation Shnaidman Pagano → ['7971779', '7960254']
  [8113] IGA Groupe Pro  Inc. → ['7964175', '7960254']
  [8115] IGA Supermarché Clément Nicolet Inc. → ['7964171', '7960254']
  [8123] IGA EXTRA Mascouche → ['7964181', '7960254']
  [8137] IGA Les Marchés Pepin inc. → ['7964179', '7960254']
  [8144] IGA Marché d'alimentation Crevier inc. → ['7972688', '7960254']
  [8154] IGA La Seigneurie Blainville Inc. → ['7964179', '7960254']
  [8162] IGA Supermarché Famille Rousseau S.B.D. → ['7964171', '7960254']
  [8163] IGA Extra Gladu Douglas → ['7964179', '7960254']
  [8164] IGA Gladu Saint-Luc → ['7964175', '7960254']
  [8168] IGA extra Famille LacostePointe-aux-Trembles → ['7971779', '7960254']
  [8175] IGA Extra Saint-Georges → ['7964171', '7960254']
  [8176] IGA Saint-Joseph-de-Beauce → ['7964171', '7960254']
  [8182] IGA Gestion Tremblay & Leboeuf inc. → ['7964171', '7960254']
  [8183] IGA Marché M. Bouchard → ['7964179', '7960254']
  [8186] Marché Famille Leblanc Forté et fils → ['7964175', '7960254']
  [8187] IGA Marché du Faubourg Ste-Julie inc. → ['7971774', '7960254']
  [8188] IGA Deschênes → ['7964175', '7960254']
  [8189] RB Mont Saint Hilaire → ['7964173', '7960254']
  [8190] IGA Marché Michel Lemieux inc. → ['7964175', '7960254']
  [8191] IGA Supermarché Bergeron Inc → ['7964171', '7960254']
  [8193] IGA Supermarché IGA extra Shawinigan → ['7964179', '7960254']
  [8196] IGA Roger Rainville & Fils inc. → ['7964171', '7960254']
  [8197] IGA Supermarché IGA Gagnon & Filles Inc → ['7972680', '7960254']
  [8199] IGA Mercier Famille Reid-Boursier → ['7964177', '7960254']
  [8200] IGA Supermarché Arcand () Inc. → ['7964171', '7960254']
  [8202] IGA Sainte-Martine → ['7964171', '7960254']
  [8203] IGA Supermarché Gilles Bariteau inc. → ['7964181', '7960254']
  [8204] IGA Supermarché Pépin → ['7964177', '7960254']
  [8207] IGA Marché d'alimentation Martin Lamarr → ['7971779', '7960254']
  [8209] IGA Alimentation Yvon Haché → ['7964173', '7960254']
  [8210] IGA Marché Louise Ménard inc. → ['7964175', '7960254']
  [8212] IGA Marché Gazaille → ['7964177', '7960254']
  [8213] IGA Marché de L’île-des Sœurs → ['7964179', '7960254']
  [8214] IGA Marché Louise Ménard (Préville) Inc → ['7964177', '7960254']
  [8217] IGA Marché Louise Ménard → ['7964177', '7960254']
  [8219] IGA Marché Louise Ménard inc. (Place Du → ['7964175', '7960254']
  [8222] IGA MARCHÉ MÉLANIE LE TRIANGLE → ['7971774', '7960254']
