=== Metro Ontario Flyer Fetch — 2026-04-16 ===
Run started : 2026-04-16 13:53:15 UTC

Loaded 133 stores from data/metro/stores.json

Stores loaded: 133
Loaded existing store_flyers.json (284 flyer entries)

Phase 1: fetching flyer listings per store…

  [2] #767 Metro Henderson → ['83130', '205150']
  [7] #314 Arnprior (Daniel) → ['83130', '205150']
  [8] #135 Barrie (Bayfield) → ['83130', '205150']
  [10] #453 Bowmanville (King) → ['83130', '205150']
  [13] #425 Brampton (Main S) → ['83130', '205150']
  [14] #360 Brampton (Heartlake Town Centre) → ['83130', '205150']
  [21] #905 Cobourg (Elgin) → ['83130', '205150']
  [25] #401 North York (Sheppard/Bathurst) → ['83130', '205150']
  [26] #102 Dundas (Dundas Valley) → ['83130', '205150']
  [28] #748 Etobicoke (Royal York) → ['83130', '205150']
  [31] #704 Etobicoke (Lloyd Manor) → ['83130', '205150']
  [32] #702 Etobicoke (Cloverdale) → ['83130', '205150']
  [34] #159 Gananoque (King) → ['83130', '205150']
  [41] #235 Hamilton (Centre Mall on Barton) → ['83130', '205150']
  [43] #229 Hamilton (King Rose Place) → ['83130', '205150']
  [49] #208 Hamilton (Fennell) → ['83130', '205150']
  [52] #193 Huntsville (King William) → ['83130', '205150']
  [55] #152 Kingston (Barrie) → ['83130', '205150']
  [57] #170 Kingston (Gardiners) → ['83130', '205150']
  [63] #199 London (Clarke Side Rd) → ['83130', '205150']
  [64] #247 Metro Cherryhill → ['83130', '205150']
  [69] #332 Milton (Louis St Laurent) → ['83130', '205150']
  [71] #461 Mississauga (Mississauga Valley/Hurontario) → ['83130', '205150']
  [74] #073 Mississauga (Lakeshore) → ['83130', '205150']
  [76] #728 Mississauga (Meadowvale Town Centre) → ['83130', '205150']
  [78] #161 Napanee (Alkenbrack) → ['83130', '205150']
  [80] #771 Newmarket (Yonge/Mulock) → ['83130', '205150']
  [82] #493 North York (Wilson/Keele) → ['83130', '205150']
  [84] #780 North York (York Mills Centre) → ['83130', '205150']
  [85] #052 North York (Bathurst) → ['83130', '205150']
  [87] #786 North York (Shops at Don Mills) → ['83130', '205150']
  [88] #334 Metro Rebecca Street → ['83130', '205150']
  [89] #214 Oakville (Oakville Town Centre) → ['83130', '205150']
  [91] #331 Orangeville (First) → ['83130', '205150']
  [95] #109 Oshawa (Taunton) → ['83130', '205150']
  [98] #245 Ottawa (Hunt Club Centre) → ['83130', '205150']
  [99] #179 Owen Sound (Second) → ['83130', '205150']
  [103] #204 Peterborough (Chemong Rd) → ['83130', '205150']
  [104] #853 Metro Amberlea → ['83130', '205150']
  [105] #153 Picton (Main) → ['83130', '205150']
  [109] #364 Sarnia (Exmouth) → ['83130', '205150']
  [110] #181 Sault Ste Marie (Market Mall) → ['83130', '205150']
  [111] #038 Scarborough (Port Union) → ['83130', '205150']
  [112] #804 Scarborough (Bridlewood Mall) → ['83130', '205150']
  [113] #800 Scarborough (Eglinton Square) → ['83130', '205150']
  [121] #197 St Catharines (Lakeshore) → ['83130', '205150']
  [123] #137 St Thomas (Wellington) → ['83130', '205150']
  [127] #424 Thunder Bay (Arthur/Hwy 61) → ['83130', '205150']
  [128] #422 Thunder Bay (Arthur/James) → ['83130', '205150']
  [129] #124 Tillsonburg (Broadway) → ['83130', '205150']
  [130] #201 Timmins (Algonquin) → ['83130', '205150']
  [134] #750 Metro Keele & Lawrence → ['83130', '205150']
  [135] #752 Toronto (Yonge Eglinton Centre) → ['83130', '205150']
  [137] #079 Toronto (Yonge/Lawrence) → ['83130', '205150']
  [138] #742 Toronto (Bloor/Spadina) → ['83130', '205150']
  [139] #063 Toronto (College Park) → ['83130', '205150']
  [140] #758 Toronto (Bayview/Eglinton) → ['83130', '205150']
  [141] #442 Toronto (College/Shaw) → ['83130', '205150']
  [144] #759 Toronto (Gould) → ['83130', '205150']
  [151] #141 Metro Central → ['83130', '205150']
  [152] #147 Metro Riverside → ['83130', '205150']
  [153] #720 Toronto (Liberty Village) → ['83130', '205150']
  [157] #490 Metro Upper Middle → ['83130', '205150']
  [159] #118 London (Adelaide Centre) → ['83130', '205150']
  [165] #404 Belleville (N Front) → ['83130', '205150']
  [167] #798 Metro Davis Drive → ['83130', '205150']
  [171] #139 Metro Banwell → ['83130', '205150']
  [179] #119 Metro Byron Village → ['83130', '205150']
  [183] #240 Sarnia (Sarnia Centre) → ['83130', '205150']
  [187] #475 Scarborough (Ellesmere/Victoria Park) → ['83130', '205150']
  [190] #395 Sault Ste Marie (Churchill Plaza) → ['83130', '205150']
  [193] #035 Scarborough (Kennedy Commons) → ['83130', '205150']
  [198] #712 North York (Church/Finch) → ['83130', '205150']
  [199] #083 Brampton (Trinity Commons) → ['83130', '205150']
  [201] #084 Burlington (Appleby) → ['83130', '205150']
  [206] #719 Toronto (Stockyards) → ['83130', '205150']
  [210] #717 Mississauga (Sheridan Mall) → ['83130', '205150']
  [214] #202 Sault Ste Marie (Northern) → ['83130', '205150']
  [215] #495 Brampton (Bramalea City Centre.) → ['83130', '205150']
  [229] #037 Toronto (Danforth) → ['83130', '205150']
  [234] #854 Mississauga (Derry/10th Line) → ['83130', '205150']
  [236] #808 Scarborough (Eglinton/Markham) → ['83130', '205150']
  [241] #325 Brantford (St Paul) → ['83130', '205150']
  [245] #399 North Bay (Lakeshore) → ['83130', '205150']
  [247] #150 London (Wellington) → ['83130', '205150']
  [249] #125 Whitby (Thickson/Taunton) → ['83130', '205150']
  [257] #055 Metro Stone Road → ['83130', '205150']
  [261] #132 Trenton (Quinte) → ['83130', '205150']
  [263] #026 Stouffville (Main) → ['83130', '205150']
  [265] #178 Collingwood (First) → ['83130', '205150']
  [267] #421 Thunder Bay (River) → ['83130', '205150']
  [273] #479 Orillia (Front St. Mall) → ['83130', '205150']
  [275] #106 Whitby (Thickson/Hwy 2) → ['83130', '205150']
  [281] #062 Metro Front Street → ['83130', '205150']
  [286] #046 Mississauga (Southdown) → ['83130', '205150']
  [327] #140 Georgetown (Mountainview) → ['83130', '205150']
  [340] #205 Whitby (Whitby Shores Plaza) → ['83130', '205150']
  [492] #249 Kanata (March Rd) → ['83130', '205150']
  [494] #251 Nepean (Greenbank Square) → ['83130', '205150']
  [495] #252 Metro Southgate → ['83130', '205150']
  [496] #253 Gloucester (Ogilvie Square) → ['83130', '205150']
  [497] #243 Ottawa (Lincoln Heights) → ['83130', '205150']
  [498] #255 Metro Island Park → ['83130', '205150']
  [499] #256 Metro Chapman Mills → ['83130', '205150']
  [501] #258 Sudbury (Lasalle Blvd) → ['83130', '205150']
  [502] #259 Sturgeon Falls (Front) → ['83130', '205150']
  [503] #260 Orleans (Convent Glen Market) → ['83130', '205150']
  [504] #261 Metro Beechwood → ['83130', '205150']
  [506] #263 Metro Elmvale → ['83130', '205150']
  [507] #264 Gloucester (Blackburn) → ['83130', '205150']
  [508] #265 Metro Cumberland → ['83130', '205150']
  [509] #266 Kingston (Bayridge) → ['83130', '205150']
  [510] #267 Nepean (Stafford) → ['83130', '205150']
  [511] #269 Brockville (King) → ['83130', '205150']
  [514] #272 Ottawa (Merivale/Viewmount) → ['83130', '205150']
  [515] #273 Casselman (Richer Circle) → ['83130', '205150']
  [516] #275 Metro Fallingbrook → ['83130', '205150']
  [517] GLEBE 428 → ['83130', '205150']
  [518] VAL CARON 430 → ['83130', '205150']
  [519] BARRY'S BAY → ['83130', '205150']
  [520] PERTH 990 → ['83130', '205150']
  [521] RENFREW MARKET 898 → ['83130', '205150']
  [529] #703 Ajax (Salem) → ['83130', '205150']
  [774] #065 Metro Humber Bay Park → ['83130', '205150']
  [806] PEMBROKE 426 → ['83130', '205150']
  [825] #772 Metro West Queen West → ['83130', '205150']
  [827] #136 Metro Devonshire Mall → ['83130', '205150']
  [835] #215 Winona (Winona Crossing) → ['83130', '205150']
  [848] #21 Bathurst & Steeles → ['83130', '205150']
  [851] #246 Kanata (Cope Dr.) → ['83130', '205150']
  [893] #32 Niagara Falls → ['83130', '205150']
  [903] #244 Rideau → ['83130', '205150']
  [913] #145 South Barrie → ['83130', '205150']

  266 new flyer entries across 133 stores
  2 unique new job(s) to download
  Saved → data/metro/store_flyers.json  (1,847,442 bytes)
New flyer entries added to store_flyers.json : 266
Unique new jobs to download                  : 2

Phase 2: fetching products for each new job…

  [83130] store 2  (https://metrodigital-apim.azure-api.net/api/Pages/83130/2/en/search)
    360 products
  Saved → data/metro/flyers/83130.json  (1,506,762 bytes)
  [205150] store 2  (https://metrodigital-apim.azure-api.net/api/Pages/205150/2/en/search)
    62 products
  Saved → data/metro/flyers/205150.json  (264,655 bytes)

── Phase 2 results ──────────────────────────────────────────────────
  Downloaded : 2
  Skipped    : 0  (file already existed)
  Errors     : 0

Run completed: 2026-04-16 13:54:08 UTC
Elapsed      : 0m 52s


