=== Metro Ontario Flyer Fetch — 2026-05-21 ===
Run started : 2026-05-21 14:22:36 UTC

Loaded 133 stores from data/metro/stores.parquet

Stores loaded: 133
Loaded store_flyers.parquet (1535 flyer entries)

Phase 1: fetching flyer listings per store…

  [2] #767 Metro Henderson → ['83407', '205352', '83407M']
  [7] #314 Arnprior (Daniel) → ['83407', '205352', '83407M']
  [8] #135 Barrie (Bayfield) → ['83407', '205352', '83407M']
  [10] #453 Bowmanville (King) → ['83407', '205352', '83407M']
  [13] #425 Brampton (Main S) → ['83407', '205352', '83407M']
  [14] #360 Brampton (Heartlake Town Centre) → ['83407', '205352', '83407M']
  [21] #905 Cobourg (Elgin) → ['83407', '205352', '83407M']
  [25] #401 North York (Sheppard/Bathurst) → ['83407', '205352', '83407M']
  [26] #102 Dundas (Dundas Valley) → ['83407', '205352', '83407M']
  [28] #748 Etobicoke (Royal York) → ['83407', '205352', '83407M']
  [31] #704 Etobicoke (Lloyd Manor) → ['83407', '205352', '83407M']
  [32] #702 Etobicoke (Cloverdale) → ['83407', '205352', '83407M']
  [34] #159 Gananoque (King) → ['83407', '205352', '83407M']
  [41] #235 Hamilton (Centre Mall on Barton) → ['83407', '205352', '83407M']
  [43] #229 Hamilton (King Rose Place) → ['83407', '205352', '83407M']
  [49] #208 Hamilton (Fennell) → ['83407', '205352', '83407M']
  [52] #193 Huntsville (King William) → ['83407', '205352', '83407M']
  [55] #152 Kingston (Barrie) → ['83407', '205352', '83407M']
  [57] #170 Kingston (Gardiners) → ['83407', '205352', '83407M']
  [63] #199 London (Clarke Side Rd) → ['83407', '205352', '83407M']
  [64] #247 Metro Cherryhill → ['83407', '205352', '83407M']
  [69] #332 Milton (Louis St Laurent) → ['83407', '205352', '83407M']
  [71] #461 Mississauga (Mississauga Valley/Hurontario) → ['83407', '205352', '83407M']
  [74] #073 Mississauga (Lakeshore) → ['83407', '205352', '83407M']
  [76] #728 Mississauga (Meadowvale Town Centre) → ['83407', '205352', '83407M']
  [78] #161 Napanee (Alkenbrack) → ['83407', '205352', '83407M']
  [80] #771 Newmarket (Yonge/Mulock) → ['83407', '205352', '83407M']
  [82] #493 North York (Wilson/Keele) → ['83407', '205352', '83407M']
  [84] #780 North York (York Mills Centre) → ['83407', '205352', '83407M']
  [85] #052 North York (Bathurst) → ['83407', '205352', '83407M']
  [87] #786 North York (Shops at Don Mills) → ['83407', '205352', '83407M']
