=== Metro Ontario Flyer Fetch — 2026-06-11 ===
Run started : 2026-06-11 14:35:24 UTC

Loaded 133 stores from data/metro/stores.parquet

Stores loaded: 133
Loaded store_flyers.parquet (2333 flyer entries)

Phase 1: fetching flyer listings per store…

  [2] #767 Metro Henderson → ['83702', '205533']
  [7] #314 Arnprior (Daniel) → ['83702', '205533']
  [8] #135 Barrie (Bayfield) → ['83702', '205533']
  [10] #453 Bowmanville (King) → ['83702', '205533']
  [13] #425 Brampton (Main S) → ['83702', '205533']
  [14] #360 Brampton (Heartlake Town Centre) → ['83702', '205533']
  [21] #905 Cobourg (Elgin) → ['83702', '205533']
  [25] #401 North York (Sheppard/Bathurst) → ['83702', '205533']
  [26] #102 Dundas (Dundas Valley) → ['83702', '205533']
  [28] #748 Etobicoke (Royal York) → ['83702', '205533']
  [31] #704 Etobicoke (Lloyd Manor) → ['83702', '205533']
  [32] #702 Etobicoke (Cloverdale) → ['83702', '205533']
  [34] #159 Gananoque (King) → ['83702', '205533']
  [41] #235 Hamilton (Centre Mall on Barton) → ['83702', '205533']
  [43] #229 Hamilton (King Rose Place) → ['83702', '205533']
  [49] #208 Hamilton (Fennell) → ['83702', '205533']
  [52] #193 Huntsville (King William) → ['83702', '205533']
  [55] #152 Kingston (Barrie) → ['83702', '205533']
  [57] #170 Kingston (Gardiners) → ['83702', '205533']
  [63] #199 London (Clarke Side Rd) → ['83702', '205533']
  [64] #247 Metro Cherryhill → ['83702', '205533']
  [69] #332 Milton (Louis St Laurent) → ['83702', '205533']
  [71] #461 Mississauga (Mississauga Valley/Hurontario) → ['83702', '205533']
  [74] #073 Mississauga (Lakeshore) → ['83702', '205533']
  [76] #728 Mississauga (Meadowvale Town Centre) → ['83702', '205533']
  [78] #161 Napanee (Alkenbrack) → ['83702', '205533']
  [80] #771 Newmarket (Yonge/Mulock) → ['83702', '205533']
  [82] #493 North York (Wilson/Keele) → ['83702', '205533']
  [84] #780 North York (York Mills Centre) → ['83702', '205533']
  [85] #052 North York (Bathurst) → ['83702', '205533']
  [87] #786 North York (Shops at Don Mills) → ['83702', '205533']
  [88] #334 Metro Rebecca Street → ['83702', '205533']
  [89] #214 Oakville (Oakville Town Centre) → ['83702', '205533']
  [91] #331 Orangeville (First) → ['83702', '205533']
  [95] #109 Oshawa (Taunton) → ['83702', '205533']
  [98] #245 Ottawa (Hunt Club Centre) → ['83702', '205533']
  [99] #179 Owen Sound (Second) → ['83702', '205533']
  [103] #204 Peterborough (Chemong Rd) → ['83702', '205533']
  [104] #853 Metro Amberlea → ['83702', '205533']
  [105] #153 Picton (Main) → ['83702', '205533']
  [109] #364 Sarnia (Exmouth) → ['83702', '205533']
  [110] #181 Sault Ste Marie (Market Mall) → ['83702', '205533']
  [111] #038 Scarborough (Port Union) → ['83702', '205533']
  [112] #804 Scarborough (Bridlewood Mall) → ['83702', '205533']
  [113] #800 Scarborough (Eglinton Square) → ['83702', '205533']
  [121] #197 St Catharines (Lakeshore) → ['83702', '205533']
  [123] #137 St Thomas (Wellington) → ['83702', '205533']
  [127] #424 Thunder Bay (Arthur/Hwy 61) → ['83702', '205533']
  [128] #422 Thunder Bay (Arthur/James) → ['83702', '205533']
  [129] #124 Tillsonburg (Broadway) → ['83702', '205533']
  [130] #201 Timmins (Algonquin) → ['83702', '205533']
  [134] #750 Metro Keele & Lawrence → ['83702', '205533']
  [135] #752 Toronto (Yonge Eglinton Centre) → ['83702', '205533']
  [137] #079 Toronto (Yonge/Lawrence) → ['83702', '205533']
  [138] #742 Toronto (Bloor/Spadina) → ['83702', '205533']
  [139] #063 Toronto (College Park) → ['83702', '205533']
  [140] #758 Toronto (Bayview/Eglinton) → ['83702', '205533']
  [141] #442 Toronto (College/Shaw) → ['83702', '205533']
  [144] #759 Toronto (Gould) → ['83702', '205533']
  [151] #141 Metro Central → ['83702', '205533']
  [152] #147 Metro Riverside → ['83702', '205533']
  [153] #720 Toronto (Liberty Village) → ['83702', '205533']
  [157] #490 Metro Upper Middle → ['83702', '205533']
  [159] #118 London (Adelaide Centre) → ['83702', '205533']
  [165] #404 Belleville (N Front) → ['83702', '205533']
  [167] #798 Metro Davis Drive → ['83702', '205533']
  [171] #139 Metro Banwell → ['83702', '205533']
  [179] #119 Metro Byron Village → ['83702', '205533']
  [183] #240 Sarnia (Sarnia Centre) → ['83702', '205533']
  [187] #475 Scarborough (Ellesmere/Victoria Park) → ['83702', '205533']
  [190] #395 Sault Ste Marie (Churchill Plaza) → ['83702', '205533']
  [193] #035 Scarborough (Kennedy Commons) → ['83702', '205533']
  [198] #712 North York (Church/Finch) → ['83702', '205533']
  [199] #083 Brampton (Trinity Commons) → ['83702', '205533']
  [201] #084 Burlington (Appleby) → ['83702', '205533']
  [206] #719 Toronto (Stockyards) → ['83702', '205533']
  [210] #717 Mississauga (Sheridan Mall) → ['83702', '205533']
  [214] #202 Sault Ste Marie (Northern) → ['83702', '205533']
  [215] #495 Brampton (Bramalea City Centre.) → ['83702', '205533']
  [229] #037 Toronto (Danforth) → ['83702', '205533']
  [234] #854 Mississauga (Derry/10th Line) → ['83702', '205533']
  [236] #808 Scarborough (Eglinton/Markham) → ['83702', '205533']
  [241] #325 Brantford (St Paul) → ['83702', '205533']
  [245] #399 North Bay (Lakeshore) → ['83702', '205533']
  [247] #150 London (Wellington) → ['83702', '205533']
  [249] #125 Whitby (Thickson/Taunton) → ['83702', '205533']
  [257] #055 Metro Stone Road → ['83702', '205533']
  [261] #132 Trenton (Quinte) → ['83702', '205533']
  [263] #026 Stouffville (Main) → ['83702', '205533']
  [265] #178 Collingwood (First) → ['83702', '205533']
  [267] #421 Thunder Bay (River) → ['83702', '205533']
  [273] #479 Orillia (Front St. Mall) → ['83702', '205533']
  [275] #106 Whitby (Thickson/Hwy 2) → ['83702', '205533']
  [281] #062 Metro Front Street → ['83702', '205533']
  [286] #046 Mississauga (Southdown) → ['83702', '205533']
  [327] #140 Georgetown (Mountainview) → ['83702', '205533']
  [340] #205 Whitby (Whitby Shores Plaza) → ['83702', '205533']
  [492] #249 Kanata (March Rd) → ['83702', '205533']
  [494] #251 Nepean (Greenbank Square) → ['83702', '205533']
  [495] #252 Metro Southgate → ['83702', '205533']
  [496] #253 Gloucester (Ogilvie Square) → ['83702', '205533']
  [497] #243 Ottawa (Lincoln Heights) → ['83702', '205533']
  [498] #255 Metro Island Park → ['83702', '205533']
  [499] #256 Metro Chapman Mills → ['83702', '205533']
  [501] #258 Sudbury (Lasalle Blvd) → ['83702', '205533']
  [502] #259 Sturgeon Falls (Front) → ['83702', '205533']
  [503] #260 Orleans (Convent Glen Market) → ['83702', '205533']
  [504] #261 Metro Beechwood → ['83702', '205533']
  [506] #263 Metro Elmvale → ['83702', '205533']
  [507] #264 Gloucester (Blackburn) → ['83702', '205533']
  [508] #265 Metro Cumberland → ['83702', '205533']
  [509] #266 Kingston (Bayridge) → ['83702', '205533']
  [510] #267 Nepean (Stafford) → ['83702', '205533']
  [511] #269 Brockville (King) → ['83702', '205533']
  [514] #272 Ottawa (Merivale/Viewmount) → ['83702', '205533']
  [515] #273 Casselman (Richer Circle) → ['83702', '205533']
  [516] #275 Metro Fallingbrook → ['83702', '205533']
  [517] GLEBE 428 → ['83702', '205533']
  [518] VAL CARON 430 → ['83702', '205533']
  [519] BARRY'S BAY → ['83702', '205533']
  [520] PERTH 990 → ['83702', '205533']
  [521] RENFREW MARKET 898 → ['83702', '205533']
  [529] #703 Ajax (Salem) → ['83702', '205533']
  [774] #065 Metro Humber Bay Park → ['83702', '205533']
  [806] PEMBROKE 426 → ['83702', '205533']
  [825] #772 Metro West Queen West → ['83702', '205533']
  [827] #136 Metro Devonshire Mall → ['83702', '205533']
  [835] #215 Winona (Winona Crossing) → ['83702', '205533']
  [848] #21 Bathurst & Steeles → ['83702', '205533']
  [851] #246 Kanata (Cope Dr.) → ['83702', '205533']
  [893] #32 Niagara Falls → ['83702', '205533']
  [903] #244 Rideau → ['83702', '205533']
  [913] #145 South Barrie → ['83702', '205533']

  266 new flyer entries across 133 stores
  2 unique new job(s) to download
  Appended 266 rows to data/metro/store_flyers.parquet
New flyer entries added to store_flyers.parquet : 266
Unique new jobs to download                     : 2

Phase 2: fetching products for each new job…

  [83702] store 2  (https://metrodigital-apim.azure-api.net/api/Pages/83702/2/en/search)
    522 products
  [205533] store 2  (https://metrodigital-apim.azure-api.net/api/Pages/205533/2/en/search)
    80 products

── Phase 2 results ──────────────────────────────────────────────────
  Downloaded : 2
  Skipped    : 0  (file already existed)
  Errors     : 0

Run completed: 2026-06-11 14:36:07 UTC
Elapsed      : 0m 43s


Done.  Verbose log → logs/metro/2026-06-11_verbose.log
       Summary log → logs/metro/2026-06-11_summary.log

