=== Walmart Flyer Fetch — 2026-07-02 ===
Run started : 2026-07-02 13:48:55 UTC

Loaded 421 stores from data/walmart/stores.parquet

Stores loaded: 421
Loaded store_flyers.parquet (6339 publication entries)

Phase 1: fetching publications per store…

  [1000] Milton → ['8002874', '8009319', '8006069']
  [1001] Bowmanville → ['8002874', '8009319', '8006069']
  [1003] Bridgewater → ['8011704', '8009322', '8006071']
  [1004] Toronto → ['8002874', '8009319', '8006069']
  [1007] Kitchener West → ['8002874', '8009319', '8006069']
  [1008] Drayton Valley → ['8011708', '8009326', '8006073']
  [1009] Whitecourt → ['8002881', '8009326', '8006073']
  [1011] Trail → ['8002882', '8009327', '8006074']
  [1012] Keswick → ['8002874', '8009319', '8006069']
  [1013] Grand Falls → ['8002876', '8009321', '8006071']
  [1014] Antigonish → ['8002877', '8009322', '8006071']
  [1015] Squamish → ['8002882', '8009327', '8006074']
  [1016] Yarmouth → ['8011704', '8009322', '8006071']
  [1017] Digby → ['8011704', '8009322', '8006071']
  [1018] Port Alberni → ['8002882', '8009327', '8006074']
  [1019] Lac-Mégantic → ['8011702', '8009320', '8006070']
  [1020] Sainte-Agathe-des-Monts → ['8011702', '8009320', '8006070']
  [1022] Winkler → ['8002880', '8009325', '8006073']
  [1023] Parry Sound → ['8002874', '8009319', '8006069']
  [1025] Matane → ['8002875', '8009320', '8006070']
  [1026] Marystown → ['8011706', '8009324', '8006072']
  [1027] Selkirk → ['8002880', '8009325', '8006073']
  [1028] Drumheller → ['8002881', '8009326', '8006073']
  [1029] Stouffville → ['8011701', '8009319', '8006069']
  [1030] Slave Lake → ['8011708', '8009326', '8006073']
  [1031] Ottawa Supercentre → ['8002874', '8009319', '8006069']
  [1032] Laval Est → ['8002875', '8009320', '8006070']
  [1033] Edmundston → ['8011703', '8009321', '8006071']
  [1034] Stettler → ['8002881', '8009326', '8006073']
  [1035] Labrador City → ['8011706', '8009324', '8006072']
  [1036] Merritt → ['8011709', '8009327', '8006074']
  [1038] Strathroy → ['8002874', '8009319', '8006069']
  [1039] Collingwood → ['8002874', '8009319', '8006069']
  [1040] Saint-Georges-de-Beauce → ['8002875', '8009320', '8006070']
  [1041] Napanee → ['8002874', '8009319', '8006069']
  [1042] Hamilton → ['8002874', '8009319', '8006069']
  [1043] Woodstock → ['8011703', '8009321', '8006071']
  [1045] Saint-Romuald → ['8011702', '8009320', '8006070']
  [1046] Taber → ['8011708', '8009326', '8006073']
  [1047] Kemptville → ['8002874', '8009319', '8006069']
  [1048] Edson → ['8002881', '8009326', '8006073']
  [1049] Strathmore → ['8002881', '8009326', '8006073']
  [1050] Airdrie → ['8002881', '8009326', '8006073']
  [1052] Sussex → ['8002876', '8009321', '8006071']
  [1054] Bracebridge → ['8002874', '8009319', '8006069']
  [1056] Oshawa → ['8011701', '8009319', '8006069']
  [1057] Vaudreuil-Dorion → ['8002875', '8009320', '8006070']
  [1059] Port Elgin → ['8002874', '8009319', '8006069']
  [1060] Rockland → ['8002874', '8009319', '8006069']
  [1061] SSC → ['8002874', '8009319', '8006069']
  [1062] Wainwright (Supercentre) → ['8002881', '8009326', '8006073']
  [1064] Wallaceburg → ['8002874', '8009319', '8006069']
  [1065] Kindersley → ['8011708', '8009326', '8006073']
  [1067] Fredericton → ['8002876', '8009321', '8006071']
  [1068] Peace River → ['8011708', '8009326', '8006073']
  [1069] Port Perry → ['8002874', '8009319', '8006069']
  [1070] Pincher Creek → ['8002881', '8009326', '8006073']
  [1071] Vegreville → ['8002881', '8009326', '8006073']
  [1072] Amherstburg → ['8002874', '8009319', '8006069']
  [1075] Carleton Place → ['8002874', '8009319', '8006069']
  [1076] Magog → ['8002875', '8009320', '8006070']
  [1077] Campbell River → ['8002882', '8009327', '8006074']
  [1078] Lethbridge → ['8011708', '8009326', '8006073']
  [1079] Brampton - West (Supercentre) → ['8002874', '8009319', '8006069']
  [1080] Scarborough → ['8002874', '8009319', '8006069']
  [1081] Woodbridge → ['8002874', '8009319', '8006069']
  [1083] Alliston → ['8002874', '8009319', '8006069']
  [1084] Olds → ['8002881', '8009326', '8006073']
  [1085] Lachenaie → ['8002875', '8009320', '8006070']
  [1086] Gatineau → ['8002875', '8009320', '8006070']
  [1087] Wasaga Beach → ['8002874', '8009319', '8006069']
  [1089] Calgary → ['8002881', '8009326', '8006073']
  [1093] Westbank → ['8011709', '8009327', '8006074']
  [1094] Edmonton SW → ['8002881', '8009326', '8006073']
  [1095] Vaughan → ['8002874', '8009319', '8006069']
  [1097] Calgary(Sage Hill) → ['8011708', '8009326', '8006073']
  [1100] Salmon Arm → ['8002882', '8009327', '8006074']
  [1101] Bradford → ['8002874', '8009319', '8006069']
  [1102] Sylvan Lake → ['8002881', '8009326', '8006073']
  [1104] West Broadway → ['8002882', '8009327', '8006074']
  [1105] Sudbury South → ['8002874', '8009319', '8006069']
  [1106] Williams Lake (Supercentre) → ['8002882', '8009327', '8006074']
  [1107] Waterdown → ['8002874', '8009319', '8006069']
