=== Walmart Flyer Fetch — 2026-09-03 ===
Run started : 2026-09-03 17:11:16 UTC

Loaded 421 stores from data/walmart/stores.parquet

Stores loaded: 421
Loaded store_flyers.parquet (8829 publication entries)

Phase 1: fetching publications per store…

  [1000] Milton → ['8113351', '8110328']
  [1001] Bowmanville → ['8113351', '8110328']
  [1003] Bridgewater → ['8120547', '8110330']
  [1004] Toronto → ['8113351', '8110328']
  [1007] Kitchener West → ['8113351', '8110328']
  [1008] Drayton Valley → ['8120552', '8110332']
  [1009] Whitecourt → ['8113359', '8110332']
  [1011] Trail → ['8113360', '8110333']
  [1012] Keswick → ['8113351', '8110328']
  [1013] Grand Falls → ['8113353', '8110330']
  [1014] Antigonish → ['8113354', '8110330']
  [1015] Squamish → ['8113360', '8110333']
  [1016] Yarmouth → ['8120547', '8110330']
  [1017] Digby → ['8120547', '8110330']
  [1018] Port Alberni → ['8113360', '8110333']
  [1019] Lac-Mégantic → ['8120545', '8110329']
  [1020] Sainte-Agathe-des-Monts → ['8120545', '8110329']
  [1022] Winkler → ['8113357', '8111145']
  [1023] Parry Sound → ['8113351', '8110328']
  [1025] Matane → ['8113352', '8110329']
  [1026] Marystown → ['8120549', '8110331']
  [1027] Selkirk → ['8113357', '8111145']
  [1028] Drumheller → ['8113359', '8110332']
  [1029] Stouffville → ['8120544', '8110328']
  [1030] Slave Lake → ['8120552', '8110332']
  [1031] Ottawa Supercentre → ['8113351', '8110328']
  [1032] Laval Est → ['8113352', '8110329']
  [1033] Edmundston → ['8120546', '8110330']
  [1034] Stettler → ['8113359', '8110332']
  [1035] Labrador City → ['8120549', '8110331']
  [1036] Merritt → ['8120553', '8110333']
  [1038] Strathroy → ['8113351', '8110328']
  [1039] Collingwood → ['8113351', '8110328']
  [1040] Saint-Georges-de-Beauce → ['8113352', '8110329']
  [1041] Napanee → ['8113351', '8110328']
  [1042] Hamilton → ['8113351', '8110328']
  [1043] Woodstock → ['8120546', '8110330']
  [1045] Saint-Romuald → ['8120545', '8110329']
  [1046] Taber → ['8120552', '8110332']
  [1047] Kemptville → ['8113351', '8110328']
  [1048] Edson → ['8113359', '8110332']
  [1049] Strathmore → ['8113359', '8110332']
  [1050] Airdrie → ['8113359', '8110332']
  [1052] Sussex → ['8113353', '8110330']
  [1054] Bracebridge → ['8113351', '8110328']
  [1056] Oshawa → ['8120544', '8110328']
  [1057] Vaudreuil-Dorion → ['8113352', '8110329']
  [1059] Port Elgin → ['8113351', '8110328']
  [1060] Rockland → ['8113351', '8110328']
  [1061] SSC → ['8113351', '8110328']
  [1062] Wainwright (Supercentre) → ['8113359', '8110332']
  [1064] Wallaceburg → ['8113351', '8110328']
  [1065] Kindersley → ['8120551', '8110332']
  [1067] Fredericton → ['8113353', '8110330']
  [1068] Peace River → ['8120552', '8110332']
  [1069] Port Perry → ['8113351', '8110328']
  [1070] Pincher Creek → ['8113359', '8110332']
  [1071] Vegreville → ['8113359', '8110332']
  [1072] Amherstburg → ['8113351', '8110328']
  [1075] Carleton Place → ['8113351', '8110328']
  [1076] Magog → ['8113352', '8110329']
  [1077] Campbell River → ['8113360', '8110333']
  [1078] Lethbridge → ['8120552', '8110332']
  [1079] Brampton - West (Supercentre) → ['8113351', '8110328']
  [1080] Scarborough → ['8113351', '8110328']
  [1081] Woodbridge → ['8113351', '8110328']
  [1083] Alliston → ['8113351', '8110328']
  [1084] Olds → ['8113359', '8110332']
  [1085] Lachenaie → ['8113352', '8110329']
  [1086] Gatineau → ['8113352', '8110329']
  [1087] Wasaga Beach → ['8113351', '8110328']
  [1089] Calgary → ['8113359', '8110332']
  [1093] Westbank → ['8120553', '8110333']
  [1094] Edmonton SW → ['8113359', '8110332']
  [1095] Vaughan → ['8113351', '8110328']
  [1097] Calgary(Sage Hill) → ['8120552', '8110332']
  [1100] Salmon Arm → ['8113360', '8110333']
  [1101] Bradford → ['8113351', '8110328']
  [1102] Sylvan Lake → ['8113359', '8110332']
  [1104] West Broadway → ['8113360', '8110333']
  [1105] Sudbury South → ['8113351', '8110328']
  [1106] Williams Lake (Supercentre) → ['8113360', '8110333']
  [1107] Waterdown → ['8113351', '8110328']
  [1109] Markham → ['8120557', '8110328']
  [1110] Ottawa-SW (Supercentre) → ['8113351', '8110328']
  [1111] Kitchener (Waterloo) → ['8113351', '8110328']
  [1112] Port Coquitlam → ['8113360', '8110333']
  [1113] Abbotsford West → ['8113360', '8110333']
  [1115] Maple (Vaughan) → ['8113351', '8110328']
  [1116] Richmond Hill → ['8113351', '8110328']
  [1117] Scarborough → ['8113351', '8110328']
  [1118] Kanata → ['8113351', '8110328']
  [1119] LOUGHEED HWY. & WREN STRET → ['8113360', '8110333']
  [1120] Brampton Northeast → ['8113351', '8110328']
  [1121] Hamilton → ['8113351', '8110328']
  [1122] Edmonton → ['8120552', '8110332']
  [1123] Sherwood Park → ['8113359', '8110332']
  [1125] Stratford → ['8113351', '8110328']
  [1126] Penguin PickUp - Mississauga East → ['8113351', '8110328']
  [1127] Port Credit → ['8113351', '8110328']
  [1130] Fergus → ['8113351', '8110328']
  [1132] Chateauguay → ['8113352', '8110329']
  [1135] Cochrane → ['8113359', '8110332']
  [1136] Calgary (East Hills) → ['8120552', '8110332']
  [1138] Tamarack Southeast → ['8113359', '8110332']
  [1139] Toronto Downsview → ['8113351', '8110328']
  [1140] Montreal (Dorval) → ['8113352', '8110329']
  [1141] Steinbach → ['8113357', '8111145']
  [1143] Prince Rupert → ['8120553', '8110333']
  [1145] Edmonton (South Park) → ['8113359', '8110332']
  [1146] Edmonton (Northgate) → ['8120552', '8110332']
  [1149] Edmonton (Meadowlark) → ['8113359', '8110332']
